secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
180,2026-09-08T04:05:07.753Z,2026-09-08T04:05:07.765Z,1,B,11.515,200,9.002,E0,
181,2026-09-08T04:05:07.802Z,2026-09-08T04:05:07.808Z,1,B,6.103,200,9.051,E0,
182,2026-09-08T04:05:07.853Z,2026-09-08T04:05:07.859Z,1,B,5.904,200,9.101,E0,
183,2026-09-08T04:05:07.902Z,2026-09-08T04:05:07.906Z,1,B,4.369,200,9.150,E0,
184,2026-09-08T04:05:07.952Z,2026-09-08T04:05:07.972Z,1,C,19.420,200,9.201,E0,
185,2026-09-08T04:05:08.002Z,2026-09-08T04:05:08.010Z,1,C,8.287,200,9.250,E0,
186,2026-09-08T04:05:08.053Z,2026-09-08T04:05:08.058Z,1,B,5.636,200,9.301,E0,
187,2026-09-08T04:05:08.103Z,2026-09-08T04:05:08.111Z,1,B,8.463,200,9.351,E0,
188,2026-09-08T04:05:08.152Z,2026-09-08T04:05:08.163Z,1,C,10.838,200,9.401,E0,
189,2026-09-08T04:05:08.202Z,2026-09-08T04:05:08.207Z,1,C,4.300,200,9.451,E0,
190,2026-09-08T04:05:08.252Z,2026-09-08T04:05:08.260Z,1,C,8.322,200,9.500,E0,
191,2026-09-08T04:05:08.302Z,2026-09-08T04:05:08.314Z,1,C,11.385,200,9.551,E0,
192,2026-09-08T04:05:08.352Z,2026-09-08T04:05:08.357Z,1,B,5.264,200,9.600,E0,
193,2026-09-08T04:05:08.403Z,2026-09-08T04:05:08.410Z,1,C,7.212,200,9.651,E0,
194,2026-09-08T04:05:08.452Z,2026-09-08T04:05:08.462Z,1,B,10.111,200,9.700,E0,
195,2026-09-08T04:05:08.502Z,2026-09-08T04:05:08.521Z,1,B,18.804,200,9.751,E0,
196,2026-09-08T04:05:08.552Z,2026-09-08T04:05:08.564Z,1,A,11.068,200,9.801,E0,
197,2026-09-08T04:05:08.602Z,2026-09-08T04:05:08.608Z,1,B,6.585,200,9.850,E0,
198,2026-09-08T04:05:08.653Z,2026-09-08T04:05:08.671Z,1,C,18.656,200,9.901,E0,
199,2026-09-08T04:05:08.702Z,2026-09-08T04:05:08.716Z,1,B,14.139,200,9.950,E0,
200,2026-09-08T04:05:08.752Z,2026-09-08T04:05:08.764Z,1,C,11.219,200,10.001,E0,
201,2026-09-08T04:05:08.802Z,2026-09-08T04:05:08.813Z,1,B,11.266,200,10.050,E0,
202,2026-09-08T04:05:08.853Z,2026-09-08T04:05:08.863Z,1,A,10.765,200,10.101,E0,
203,2026-09-08T04:05:08.902Z,2026-09-08T04:05:08.915Z,1,A,13.411,200,10.150,E0,
204,2026-09-08T04:05:08.953Z,2026-09-08T04:05:08.966Z,1,B,13.266,200,10.201,E0,
205,2026-09-08T04:05:09.003Z,2026-09-08T04:05:09.023Z,1,A,20.204,200,10.251,E0,
206,2026-09-08T04:05:09.052Z,2026-09-08T04:05:09.070Z,1,C,17.785,200,10.300,E0,
207,2026-09-08T04:05:09.102Z,2026-09-08T04:05:09.117Z,1,A,15.285,200,10.350,E0,
208,2026-09-08T04:05:09.152Z,2026-09-08T04:05:09.165Z,1,A,13.425,200,10.400,E0,
209,2026-09-08T04:05:09.203Z,2026-09-08T04:05:09.216Z,1,A,13.423,200,10.451,E0,
210,2026-09-08T04:05:09.253Z,2026-09-08T04:05:09.266Z,1,B,13.172,200,10.501,E0,
211,2026-09-08T04:05:09.302Z,2026-09-08T04:05:09.313Z,1,C,11.114,200,10.550,E0,
212,2026-09-08T04:05:09.353Z,2026-09-08T04:05:09.362Z,1,B,8.874,200,10.601,E0,
213,2026-09-08T04:05:09.402Z,2026-09-08T04:05:09.414Z,1,C,11.326,200,10.651,E0,
214,2026-09-08T04:05:09.452Z,2026-09-08T04:05:09.467Z,1,A,15.077,200,10.700,E0,
215,2026-09-08T04:05:09.502Z,2026-09-08T04:05:09.515Z,1,A,12.608,200,10.751,E0,
216,2026-09-08T04:05:09.553Z,2026-09-08T04:05:09.561Z,1,B,7.987,200,10.801,E0,
217,2026-09-08T04:05:09.602Z,2026-09-08T04:05:09.610Z,1,A,8.303,200,10.850,E0,
218,2026-09-08T04:05:09.653Z,2026-09-08T04:05:09.669Z,1,B,16.003,200,10.901,E0,
219,2026-09-08T04:05:09.702Z,2026-09-08T04:05:09.712Z,1,A,10.583,200,10.950,E0,
220,2026-09-08T04:05:09.753Z,2026-09-08T04:05:09.770Z,1,A,16.684,200,11.002,E0,
221,2026-09-08T04:05:09.802Z,2026-09-08T04:05:09.813Z,1,C,11.051,200,11.050,E0,
222,2026-09-08T04:05:09.852Z,2026-09-08T04:05:09.867Z,1,A,14.311,200,11.101,E0,
223,2026-09-08T04:05:09.902Z,2026-09-08T04:05:09.917Z,1,A,14.526,200,11.150,E0,
224,2026-09-08T04:05:09.952Z,2026-09-08T04:05:09.963Z,1,A,11.441,200,11.200,E0,
225,2026-09-08T04:05:10.003Z,2026-09-08T04:05:10.009Z,1,C,6.008,200,11.251,E0,
226,2026-09-08T04:05:10.052Z,2026-09-08T04:05:10.064Z,1,A,12.194,200,11.300,E0,
227,2026-09-08T04:05:10.102Z,2026-09-08T04:05:10.110Z,1,B,8.202,200,11.351,E0,
228,2026-09-08T04:05:10.153Z,2026-09-08T04:05:10.156Z,1,B,3.332,200,11.401,E0,
229,2026-09-08T04:05:10.203Z,2026-09-08T04:05:10.222Z,1,B,19.314,200,11.451,E0,
230,2026-09-08T04:05:10.253Z,2026-09-08T04:05:10.261Z,1,A,8.390,200,11.501,E0,
231,2026-09-08T04:05:10.302Z,2026-09-08T04:05:10.308Z,1,A,5.680,200,11.551,E0,
232,2026-09-08T04:05:10.353Z,2026-09-08T04:05:10.359Z,1,B,6.895,200,11.601,E0,
233,2026-09-08T04:05:10.402Z,2026-09-08T04:05:10.412Z,1,A,10.497,200,11.650,E0,
234,2026-09-08T04:05:10.452Z,2026-09-08T04:05:10.461Z,1,C,9.490,200,11.700,E0,
235,2026-09-08T04:05:10.503Z,2026-09-08T04:05:10.518Z,1,A,14.934,200,11.751,E0,
236,2026-09-08T04:05:10.552Z,2026-09-08T04:05:10.560Z,1,A,7.810,200,11.800,E0,
237,2026-09-08T04:05:10.602Z,2026-09-08T04:05:10.614Z,1,B,12.001,200,11.851,E0,
238,2026-09-08T04:05:10.653Z,2026-09-08T04:05:10.667Z,1,A,14.372,200,11.901,E0,
239,2026-09-08T04:05:10.702Z,2026-09-08T04:05:10.712Z,1,C,10.150,200,11.950,E0,
240,2026-09-08T04:05:10.753Z,2026-09-08T04:05:10.763Z,1,A,10.288,200,12.001,E0,
241,2026-09-08T04:05:10.802Z,2026-09-08T04:05:10.812Z,1,C,9.515,200,12.051,E0,
242,2026-09-08T04:05:10.853Z,2026-09-08T04:05:10.863Z,1,A,10.708,200,12.101,E0,
