secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
152,2026-09-08T04:05:55.350Z,2026-09-08T04:05:55.360Z,1,C,10.285,200,7.601,E1,
153,2026-09-08T04:05:55.400Z,2026-09-08T04:05:55.406Z,1,A,6.408,200,7.651,E1,
154,2026-09-08T04:05:55.449Z,2026-09-08T04:05:55.466Z,1,A,16.393,200,7.700,E1,
155,2026-09-08T04:05:55.499Z,2026-09-08T04:05:55.510Z,1,C,11.021,200,7.750,E1,
156,2026-09-08T04:05:55.549Z,2026-09-08T04:05:55.568Z,1,B,19.047,200,7.800,E1,
157,2026-09-08T04:05:55.600Z,2026-09-08T04:05:55.612Z,1,C,11.998,200,7.851,E1,
158,2026-09-08T04:05:55.650Z,2026-09-08T04:05:55.661Z,1,B,10.904,200,7.901,E1,
159,2026-09-08T04:05:55.699Z,2026-09-08T04:05:55.705Z,1,C,6.124,200,7.950,E1,
160,2026-09-08T04:05:55.749Z,2026-09-08T04:05:55.757Z,1,A,7.133,200,8.000,E1,
161,2026-09-08T04:05:55.800Z,2026-09-08T04:05:55.804Z,1,A,4.280,200,8.051,E1,
162,2026-09-08T04:05:55.849Z,2026-09-08T04:05:55.857Z,1,A,7.978,200,8.100,E1,
163,2026-09-08T04:05:55.899Z,2026-09-08T04:05:55.907Z,1,B,7.227,200,8.150,E1,
164,2026-09-08T04:05:55.950Z,2026-09-08T04:05:55.962Z,1,B,12.562,200,8.201,E1,
165,2026-09-08T04:05:56.000Z,2026-09-08T04:05:56.008Z,1,C,7.781,200,8.251,E1,
166,2026-09-08T04:05:56.050Z,2026-09-08T04:05:56.064Z,1,C,14.588,200,8.301,E1,
167,2026-09-08T04:05:56.100Z,2026-09-08T04:05:56.110Z,1,A,9.870,200,8.351,E1,
168,2026-09-08T04:05:56.149Z,2026-09-08T04:05:56.163Z,1,B,14.292,200,8.400,E1,
169,2026-09-08T04:05:56.199Z,2026-09-08T04:05:56.218Z,1,C,18.453,200,8.450,E1,
170,2026-09-08T04:05:56.249Z,2026-09-08T04:05:56.260Z,1,C,10.426,200,8.500,E1,
171,2026-09-08T04:05:56.300Z,2026-09-08T04:05:56.316Z,1,B,16.010,200,8.551,E1,
172,2026-09-08T04:05:56.349Z,2026-09-08T04:05:56.357Z,1,C,7.471,200,8.600,E1,
